sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
C2902 筲箕灣街坊福利事務促進會有限公司,3750,60,166,300,441,651,824,1008,1189,1370,1546,1708,1872,2084,2284,2447
C3001 循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊 (耀東服務處),5615,79,211,376,616,838,1059,1249,1445,1705,1946,2178,2411,2665,2916,3306
C3101 粵南信義會腓力堂興民幼兒學園,4886,66,175,338,521,754,918,1114,1311,1515,1690,1894,2062,2300,2499,2705
C3102 路德會聖雅各幼稚園,4973,136,236,364,563,776,922,1093,1263,1453,1595,1887,2064,2285,2529,2741
C3201 天主教明德學校,6836,88,238,509,768,1131,1354,1658,2052,2387,2646,2953,3187,3462,3863,4232
C3301 柴灣母嬰健康院,4090,67,182,306,487,717,875,1123,1329,1549,1783,1954,2135,2321,2543,2780
C3401 漁灣社區會堂,12587,145,480,942,1514,2026,2563,3056,3612,4248,4940,5445,5932,6425,7051,7579
C3501 香港中華基督教青年會 - 柴灣會所,6207,102,235,421,641,868,1106,1309,1548,1821,2077,2334,2555,2835,3127,3520
D0101 香港仔體育館,10460,173,401,744,1195,1543,2051,2371,2762,3242,3657,3966,4527,4999,5536,6540
D0201 鴨脷洲社區會堂,8490,151,367,704,1034,1395,1603,1891,2161,2494,2494,3132,3401,3755,4037,4311
D0301 鴨脷洲體育館,6015,73,250,460,734,1011,1304,1614,1797,2082,2329,2573,2851,3129,3496,3821
D0401 聖伯多祿天主教小學,10188,148,346,671,1023,1405,1762,2202,2538,2944,3352,3817,4225,4652,5110,5616
D0501 利東社區會堂,9006,108,389,713,1021,1309,1603,1898,2183,2551,2870,3198,3550,3888,4275,4625
D0601 香港南區官立小學,7751,130,342,637,1080,1505,1872,2248,2565,3070,3524,3928,4328,4708,5258,5813
D0701 海怡社區中心,8569,118,374,688,1074,1545,1993,2467,2942,3389,3803,4265,4764,5201,5877,6528
D0801 華貴社區會堂,10887,110,398,763,1211,1595,1926,2336,2701,3178,3605,4112,4540,4926,5451,6009
D0901 明愛莊月明中學,7650,109,348,609,909,1153,1382,1640,1895,2163,2439,2736,3031,3362,3583,3867
D1001 東華三院鶴山學校,8718,127,317,675,888,1163,1445,1751,2056,2341,2699,3019,3341,3649,3995,4333
